Onglet;Domaine;Sous Domaine;Indicateur;Champs;Formule
Effectifs;Emploi;Départs;Nombre de licenciements pour motif économique, dont départs en retraite et préretraite;Employé;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est licenciement économique (éco, retraite, préretraite) et dont la CSP est Employé
Effectifs;Emploi;Départs;Nombre de licenciements pour motif économique, dont départs en retraite et préretraite;Ouvrier;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est licenciement économique (éco, retraite, préretraite) et dont la CSP est Ouvrier
Effectifs;Emploi;Départs;Nombre de licenciements pour motif économique, dont départs en retraite et préretraite;Technicien;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est licenciement économique (éco, retraite, préretraite) et dont la CSP est Technicien
Effectifs;Emploi;Départs;Nombre de licenciements pour d'autres causes;Cadre;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est différente de licenciement économique (éco, retraite, préretraite) et démissions et dont la CSP est Cadre
Effectifs;Emploi;Départs;Nombre de licenciements pour d'autres causes;Agent de Maitrise ;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est différente de licenciement économique (éco, retraite, préretraite) et démissions et dont la CSP est Agent de maitrise
Effectifs;Emploi;Départs;Nombre de licenciements pour d'autres causes;Employé;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est différente de licenciement économique (éco, retraite, préretraite) et démissions et dont la CSP est Employé
Effectifs;Emploi;Départs;Nombre de licenciements pour d'autres causes;Ouvrier;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est différente de licenciement économique (éco, retraite, préretraite) et démissions et dont la CSP est Ouvrier
Effectifs;Emploi;Départs;Nombre de licenciements pour d'autres causes;Technicien;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est différente de licenciement économique (éco, retraite, préretraite) et démissions et dont la CSP est Technicien
Effectifs;Emploi;Départs;Nombre de fins de contrats de travail à durée déterminée;Cadre;Nombre matricule par structure dont la date de sortie est l'année de référence et le type de contrat est CDD (DD) et dont la CSP est Cadre
Effectifs;Emploi;Départs;Nombre de fins de contrats de travail à durée déterminée;Agent de Maitrise ;Nombre matricule par structure dont la date de sortie est l'année de référence et le type de contrat est CDD (DD) et dont la CSP est Agent de maitrise
Effectifs;Emploi;Départs;Nombre de fins de contrats de travail à durée déterminée;Employé;Nombre matricule par structure dont la date de sortie est l'année de référence et le type de contrat est CDD (DD) et dont la CSP est Employé
Effectifs;Emploi;Départs;Nombre de fins de contrats de travail à durée déterminée;Ouvrier;Nombre matricule par structure dont la date de sortie est l'année de référence et le type de contrat est CDD (DD) et dont la CSP est Ouvrier
Effectifs;Emploi;Départs;Nombre de fins de contrats de travail à durée déterminée;Technicien;Nombre matricule par structure dont la date de sortie est l'année de référence et le type de contrat est CDD (DD) et dont la CSP est Technicien
Effectifs;Emploi;Départs;Nombre de décès;Cadre;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est décès et la CSP est cadre
Effectifs;Emploi;Départs;Nombre de décès;Agent de Maitrise ;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est décès et la CSP est Agent de maitrise
Effectifs;Emploi;Départs;Nombre de décès;Employé;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est décès et la CSP est Employé
Effectifs;Emploi;Départs;Nombre de décès;Ouvrier;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est décès et la CSP est Ouvrier
Effectifs;Emploi;Départs;Nombre de décès;Technicien;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est décès et la CSP est Technicien
Effectifs;Travailleurs handicapés;Handicapés;Nombre de travailleurs handicapés à la suite d'accidents du travail intervenus dans l'entreprise, employés au 31 mars de l'année considérée;Nombre de travailleurs handicapés;Nombre matricule par structure dont la type de reconnaissance est RQTH
Effectifs;Effectif;Travailleurs extérieurs;Evolution du nombre de stagiaires;Evolution du nombre de stagiaires;Nombre matricule par structure dont le type de contrat est stage
Effectifs;Formation;Apprentissage;Nombre de contrats d'apprentissage conclus dans l'année;Nombre de contrats d'apprentissage conclus dans l'année;Nombre matricule par structure dont le type de contrat est contrat d'apprentissage
Effectifs;Autres conditions de travail;Durée et aménagement du temps de travail;Nombre de salariés employés à temps partiel entre 20 et 30 heures;Cadre;Nombre matricule par structure dont l'horaire hebdomadaire est entre 20h et 30h dont la CSP est Cadre
Effectifs;Autres conditions de travail;Durée et aménagement du temps de travail;Nombre de salariés employés à temps partiel entre 20 et 30 heures;Agent de Maitrise ;Nombre matricule par structure dont l'horaire hebdomadaire est entre 20h et 30h dont la CSP est Agent de maitrise
Effectifs;Autres conditions de travail;Durée et aménagement du temps de travail;Nombre de salariés employés à temps partiel entre 20 et 30 heures;Employé;Nombre matricule par structure dont l'horaire hebdomadaire est entre 20h et 30h dont la CSP est Employé
Effectifs;Autres conditions de travail;Durée et aménagement du temps de travail;Nombre de salariés employés à temps partiel entre 20 et 30 heures;Ouvrier;Nombre matricule par structure dont l'horaire hebdomadaire est entre 20h et 30h dont la CSP est Ouvrier
Effectifs;Autres conditions de travail;Durée et aménagement du temps de travail;Nombre de salariés employés à temps partiel entre 20 et 30 heures;Technicien;Nombre matricule par structure dont l'horaire hebdomadaire est entre 20h et 30h dont la CSP est Technicien
Effectifs;Autres conditions de travail;Durée et aménagement du temps de travail;Nombre de salariés employés en autres formes de temps partiel;Cadre;Nombre matricule par structure dont l'horaire hebdomadaire est entre 30h et 35h ou infèrieur à 20h dont la CSP est Cadre
Effectifs;Autres conditions de travail;Durée et aménagement du temps de travail;Nombre de salariés employés en autres formes de temps partiel;Agent de Maitrise ;Nombre matricule par structure dont l'horaire hebdomadaire est entre 30h et 35h ou infèrieur à 20h dont la CSP est Agent de maitrise
Effectifs;Autres conditions de travail;Durée et aménagement du temps de travail;Nombre de salariés employés en autres formes de temps partiel;Employé;Nombre matricule par structure dont l'horaire hebdomadaire est entre 30h et 35h ou infèrieur à 20h dont la CSP est Employé
Effectifs;Autres conditions de travail;Durée et aménagement du temps de travail;Nombre de salariés employés en autres formes de temps partiel;Ouvrier;Nombre matricule par structure dont l'horaire hebdomadaire est entre 30h et 35h ou infèrieur à 20h dont la CSP est Ouvrier
Effectifs;Autres conditions de travail;Durée et aménagement du temps de travail;Nombre de salariés employés en autres formes de temps partiel;Technicien;Nombre matricule par structure dont l'horaire hebdomadaire est entre 30h et 35h ou infèrieur à 20h dont la CSP est Technicien
Effectifs;Conditions générales d'emploi;Effectifs;Nombre d'hommes en CDI par CSP;Cadre;Nombre matricule par structure dont la CSP est Cadre, le type de contrat CDI et le sexe homme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre de femmes en CDI par CSP;Cadre;Nombre matricule par structure dont la CSP est Cadre, le type de contrat CDI et le sexe femme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre d'hommes en CDD par CSP;Cadre;Nombre matricule par structure dont la CSP est Cadre, le type de contrat CDD et le sexe homme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre de femmes en CDD par CSP;Cadre;Nombre matricule par structure dont la CSP est Cadre, le type de contrat CDD et le sexe femme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre d'hommes en CDI par CSP;Agent de Maitrise;Nombre matricule par structure dont la CSP est Agent de maitrise, le type de contrat CDI et le sexe homme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre de femmes en CDI par CSP;Agent de Maitrise;Nombre matricule par structure dont la CSP est Agent de maitrise, le type de contrat CDI et le sexe femme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre d'hommes en CDD par CSP;Agent de Maitrise;Nombre matricule par structure dont la CSP est Agent de maitrise, le type de contrat CDD et le sexe homme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre de femmes en CDD par CSP;Agent de Maitrise;Nombre matricule par structure dont la CSP est Agent de maitrise, le type de contrat CDD et le sexe femme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre d'hommes en CDI par CSP;Technicien;Nombre matricule par structure dont la CSP est Technicien, le type de contrat CDI et le sexe homme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre de femmes en CDI par CSP;Technicien;Nombre matricule par structure dont la CSP est Technicien, le type de contrat CDI et le sexe femme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre d'hommes en CDD par CSP;Technicien;Nombre matricule par structure dont la CSP est Technicien, le type de contrat CDD et le sexe homme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre de femmes en CDD par CSP;Technicien;Nombre matricule par structure dont la CSP est Technicien, le type de contrat CDD et le sexe femme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre d'hommes en CDI par CSP;Ouvrier;Nombre matricule par structure dont la CSP est Ouvrier, le type de contrat CDI et le sexe homme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre de femmes en CDI par CSP;Ouvrier;Nombre matricule par structure dont la CSP est Ouvrier, le type de contrat CDI et le sexe femme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre d'hommes en CDD par CSP;Ouvrier;Nombre matricule par structure dont la CSP est Ouvrier, le type de contrat CDD et le sexe homme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre de femmes en CDD par CSP;Ouvrier;Nombre matricule par structure dont la CSP est Ouvrier, le type de contrat CDD et le sexe femme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre d'hommes en CDI par CSP;Employé;Nombre matricule par structure dont la CSP est Employé, le type de contrat CDI et le sexe homme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre de femmes en CDI par CSP;Employé;Nombre matricule par structure dont la CSP est Employé, le type de contrat CDI et le sexe femme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre d'hommes en CDD par CSP;Employé;Nombre matricule par structure dont la CSP est Employé, le type de contrat CDD et le sexe homme
Effectifs;Conditions générales d'emploi;Effectifs;Nombre de femmes en CDD par CSP;Employé;Nombre matricule par structure dont la CSP est Employé, le type de contrat CDD et le sexe femme
Effectifs;Conditions générales d'emploi;Durée et organisation du travail;Nombre de salariés en temps complet;Homme;Nombre matricule par structure dont l'horaire hebdomadaire est supérieur ou égal à 35h et le sexe est homme
Effectifs;Conditions générales d'emploi;Durée et organisation du travail;Nombre de salariés en temps complet;Femme;Nombre matricule par structure dont l'horaire hebdomadaire est supérieur ou égal à 35h et le sexe est femme
Effectifs;Conditions générales d'emploi;Durée et organisation du travail;Nombre de salariés en temps partiel (entre 20 et 30 heures);Homme;Nombre matricule par structure dont l'horaire hebdomadaire est entre 20h et 30h et le sexe est homme 
Effectifs;Conditions générales d'emploi;Durée et organisation du travail;Nombre de salariés en temps partiel (entre 20 et 30 heures);Femme;Nombre matricule par structure dont l'horaire hebdomadaire est entre 20h et 30h et le sexe est femme 
Effectifs;Conditions générales d'emploi;Durée et organisation du travail;Nombre de salariés en temps partiel (autres formes de temps partiel);Femme;Nombre matricule par structure dont l'horaire hebdomadaire est entre 30h et 35h ou infèrieur à 20h et le sexe est femme
Effectifs;Conditions générales d'emploi;Durée et organisation du travail;Nombre de salariés en temps partiel (autres formes de temps partiel);Homme;Nombre matricule par structure dont l'horaire hebdomadaire est entre 30h et 35h ou infèrieur à 20h et le sexe est homme
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Cadre;Retraite;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Cadre et le Sexe est Femme et la nature de la fin de contrat est retraite
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Cadre;Démission;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Cadre et le Sexe est Femme et la nature de la fin de contrat est démission
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Cadre;Fin de contrat de travail à durée déterminée;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Cadre et le Sexe est Femme et la nature de la fin de contrat est fin de CDD
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Cadre;Licenciement;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Cadre et le Sexe est Femme et la nature de la fin de contrat est licenciement
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'homme de la CSP Cadre;Retraite;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Cadre et le Sexe est homme et la nature de la fin de contrat est retraite
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'homme de la CSP Cadre;Démission;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Cadre et le Sexe est homme et la nature de la fin de contrat est démission
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'homme de la CSP Cadre;Fin de contrat de travail à durée déterminée;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Cadre et le Sexe est homme et la nature de la fin de contrat est fin de CDD
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'homme de la CSP Cadre;Licenciement;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Cadre et le Sexe est homme et la nature de la fin de contrat est licenciement
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Agent de Maitrise;Retraite;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Agent de maitrise et le Sexe est Femme et la nature de la fin de contrat est retraite
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Agent de Maitrise;Démission;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Agent de maitrise et le Sexe est Femme et la nature de la fin de contrat est démission
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Agent de Maitrise;Fin de contrat de travail à durée déterminée;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Agent de maitrise et le Sexe est Femme et la nature de la fin de contrat est fin de CDD
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Agent de Maitrise;Licenciement;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Agent de maitrise et le Sexe est Femme et la nature de la fin de contrat est licenciement
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'hommes de la CSP Agent de Maitrise;Retraite;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Agent de maitrise et le Sexe est homme et la nature de la fin de contrat est retraite
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'hommes de la CSP Agent de Maitrise;Démission;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Agent de maitrise et le Sexe est homme et la nature de la fin de contrat est démission
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'hommes de la CSP Agent de Maitrise;Fin de contrat de travail à durée déterminée;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Agent de maitrise et le Sexe est homme et la nature de la fin de contrat est fin de CDD
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'hommes de la CSP Agent de Maitrise;Licenciement;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Agent de maitrise et le Sexe est homme et la nature de la fin de contrat est licenciement
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Employé;Retraite;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Employé et le Sexe est Femme et la nature de la fin de contrat est retraite
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Employé;Démission;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Employé et le Sexe est Femme et la nature de la fin de contrat est démission
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Employé;Fin de contrat de travail à durée déterminée;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Employé et le Sexe est Femme et la nature de la fin de contrat est fin de CDD
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Employé;Licenciement;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Employé et le Sexe est Femme et la nature de la fin de contrat est licenciement
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'homme de la CSP Employé;Retraite;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Employé et le Sexe est homme et la nature de la fin de contrat est retraite
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'homme de la CSP Employé;Démission;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Employé et le Sexe est homme et la nature de la fin de contrat est démission
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'homme de la CSP Employé;Fin de contrat de travail à durée déterminée;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Employé et le Sexe est homme et la nature de la fin de contrat est fin de CDD
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ d'homme de la CSP Employé;Licenciement;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Employé et le Sexe est homme et la nature de la fin de contrat est licenciement
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Ouvrier;Retraite;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Ouvrier et le Sexe est Femme et la nature de la fin de contrat est retraite
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Ouvrier;Démission;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Ouvrier et le Sexe est Femme et la nature de la fin de contrat est démission
Effectifs;Conditions générales d'emploi;Données sur les départs;Nombre de départ de femmes de la CSP Ouvrier;Fin de contrat de travail à durée déterminée;Nombre matricule par structure dont la date de sortie (année) est l'année de référence, la CSP est Ouvrier et le Sexe est Femme et la nature de la fin de contrat est fin de CDD
